CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2020] SGHC 284,"Conflict of Laws — Choice of jurisdiction — Exclusive
Conflict of Laws — Natural forum
Civil Procedure — Service — Out of jurisdiction
Civil Procedure — Writ of summons ",2020,https://www.elitigation.sg/gd/s/2020_SGHC_284,14626,130,Mavis Chionh Sze Chyi JC,"Raeza Khaled Salem Ibrahim, Kulvinder Kaur and Charlene Wee Swee Ting (Salem Ibrahim LLC) for the plaintiff Calvin Liang (Essex Court Chambers Duxton (Singapore Group Practice)), Yu Kexin (Yu Law) (instructed) and Eugene Jedidiah Low (Ark Law Corporation) for the first and fifth defendants Gregory Vijayendran SC, Tan Eu Shan Kevin and Andrew Tan Jian Ming (Rajah & Tann Singapore LLP) for the sixth defendant."
[2020] SGHCF 23,Family Law — Matrimonial assets — Division,2020,https://www.elitigation.sg/gd/s/2020_SGHCF_23,21428,178,Tan Puay Boon JC,"Sim Bock Eng, Chan Yu Xin and Khoo Kiah Min Jolyn (WongPartnership LLP) for the plaintiff Khoo Boo Teck Randolph, Tricia Ho, Shawn Teo Kai Jie and Liu Chenghan Aloysius (Drew & Napier LLC) for the defendant."
[2020] SGHC 283,"Criminal Procedure and Sentencing — Taking additional evidence
 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_283,2533,26,Hoo Sheau Peng J,"Ramesh Chandr Tiwary (Ramesh Tiwary) for the accused Anandan Bala, Theong Li Han and Claire Poh (Attorney-General's Chambers) for the Prosecution."
[2020] SGHC 278,"Tort — Defamation — Justification
Criminal Law — Statutory offences — Protection From Harassment Act
Tort — Conspiracy",2020,https://www.elitigation.sg/gd/s/2020_SGHC_278,9084,86,Valerie Thean J,"Goh Kok Leong, Daniel Tan An Ye and Dillion Chua Hong Bin (Cai Hongbin) (Ang & Partners) for the plaintiff Bernard Sahagar s/o Tanggavelu and Beh Eng Siew (Lee Bon Leong & Co) for the first and second defendant Lok Vi Ming SC, Lee Sien Liang Joseph and Qabir Singh Sandhu (LVM Law Chambers LLC) for the third party (withdrawn)."
[2020] SGHC 275,"Contract — Misrepresentation — Fraudulent
Tort — Negligence — Duty of care
Tort — Vicarious liability",2020,https://www.elitigation.sg/gd/s/2020_SGHC_275,6369,101,Andre Maniam JC,Tan Li-Chern Terence (Robertson Chambers LLC) and Thangavelu (Trident Law Corporation) (instructed) for the plaintiff Ng Yeow Khoon and Ho Wei Liang Sherman (Shook Lin & Bok LLP) for the defendant.
[2020] SGHC 282,Civil Procedure — Stay of proceedings ,2020,https://www.elitigation.sg/gd/s/2020_SGHC_282,2885,32,Tan Siong Thye J,"Chiok Beng Piow and Margaret Lee Hui Zhen (JHT Law Corporation) for the plaintiff Goh Siong Pheck Francis, Natasha Goh Leshuang and Selina Yap Sher Lin (Harry Elias Partnership LLP) for the defendants."
[2020] SGCA 123,Land — Strata titles — Meetings ,2020,https://www.elitigation.sg/gd/s/2020_SGCA_123,12153,101,Tay Yong Kwang JA,Lee Sien Liang Joseph and Muk Chen Yeen Jonathan (LVM Law Chambers LLC) for the appellant Chew Kei-Jin and Tan Silin Stephanie (Chen Silin) (Ascendant Legal LLC) for the respondent Wah Hsien-Wen Terence and Mok Zi Cong (Dentons Rodyk & Davidson LLP) for the intervener.
[2020] SGCA 122,"Constitutional Law — Judicial review
Constitutional Law — Equal protection of the law ",2020,https://www.elitigation.sg/gd/s/2020_SGCA_122,10347,86,Sundaresh Menon CJ,Ravi s/o Madasamy (Carson Law Chambers) for the appellant Francis Ng Yong Kiat SC and Wuan Kin Lek Nicholas (Attorney-General's Chambers) for the respondent.
[2020] SGHC 279,"Civil Procedure — Jurisdiction — Inherent
Civil Procedure — Jurisdiction — Submission
Civil Procedure — Mareva injunctions
Civil Procedure — Pleadings
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_279,15632,176,Andrew Ang SJ,"Ong Tun Wei Danny, Bethel Chan Ruiyi, Yam Wern Jhien and Chen Lixin (Rajah & Tann LLP) for the plaintiff Probin Stephan Dass, Liew Zhi Hao and Yong Khung Mun, Aloysious (Shook Lin & Bok LLP), Harpreet Singh Nehal SC, Jordan Tan and Victor Leong (Audent Chambers LLC) (instructed) for the defendants."
[2020] SGHCF 22,"Succession and Wills — Testamentary capacity
Succession and Wills — Undue influence
",2020,https://www.elitigation.sg/gd/s/2020_SGHCF_22,3881,239,Unknown,Not found
[2020] SGHC 281,"Confidence — Breach of confidence
Injunctions — Interlocutory Injunction",2020,https://www.elitigation.sg/gd/s/2020_SGHC_281,3108,32,Choo Han Teck J,"Thng Yu Ting Angelia, Tan Zhi Xin and Sim Wei Min Stephanie (Braddell Brothers LLP) for the plaintiffLuo Ling Ling and Sharifah Nabilah Binte Syed Omar (Luo Ling Ling LLC) for the 1st to 4th defendants."
[2020] SGCA 121,"Building and Construction Law — Statutes and regulations — Building and Construction Industry Security of Payment Act
Building and Construction Law — Termination — Consequences 
",2020,https://www.elitigation.sg/gd/s/2020_SGCA_121,4797,54,Steven Chong JA,"Valliappan Subramaniam and Ng Hweelon (Veritas Law Corporation) for the appellant in CA/CA 13/2020 and the respondent in CA/CA 112/2020 Ong Kok Seng, Ang Minghao and Tan Ting Ting (Patrick Ong Law LLC) for the respondent in CA/CA 13/2020 and the appellant in CA/CA 112/2020."
[2020] SGHC 271,"Companies — Common law derivative action — Whether leave necessary to commence
Tort — Conspiracy — Unlawful means
Equity — Fiduciary relationships — Duties — Breach",2020,https://www.elitigation.sg/gd/s/2020_SGHC_271,18168,145,Valerie Thean J,"Leslie Yeo and Jolene Tan (Sterling Law Corporation) for the plaintiff Suresh S/O Damodara, Clement Ong and Joni Khoo (Damodara Ong LLC) for the first and third defendant Leo Cheng Suan and Denise Tay (Infinitus Law Corporation) for the second, fourth, fifth and sixth defendant"
[2020] SGHC 269,Arbitration — Award — Recourse against award — Setting aside,2020,https://www.elitigation.sg/gd/s/2020_SGHC_269,2058,70,Andre Maniam JC,"Nandakumar Ponniya Servai, Wong Tjen Wee, Jeunhsien Daniel Ho and Singh Kartik (Wong & Leow LLC) for the plaintiff Goh Phai Cheng SC (Goh Phai Cheng LLC) for the defendant."
[2020] SGHC(I) 27,"Companies — Oppression — Minority shareholders — Buy-out order
Companies — Shares — Valuation of shares — Valuation date
Evidence — Admissibility of evidence — Hearsay — General and specific hearsay
Evidence — Weight of evidence 
Damages — Measure of damages — Wrotham Park damages
Companies — Shares — Valuation of shares — Discount for lack of marketability 
",2020,https://www.elitigation.sg/gd/s/2020_SGHCI_27,27072,314,Kannan Ramesh J,"Dinesh Dhillon, Lim Dao Kai, Margaret Joan Ling, Teh Shi Ying, Han Jiajun and Dhivya Naidu (Allen & Gledhill LLP) for the plaintiff Toh Kian Sing SC, Cheng Wai Yuen, Mark, Chew Xiang, Soh Yu Xian, Priscilla, Lim Wee Teck, Darren and Yu Qianqian (Rajah & Tann Singapore LLP) for the first defendant See Chern Yang, Teng Po Yew and Audie Wong Cheng Siew (Drew & Napier LLC) for the second defendant."
[2020] SGHCR 9,Civil Procedure — Pleadings — Rejoinders — Leave,2020,https://www.elitigation.sg/gd/s/2020_SGHCR_9,10912,84,Elton Tan Xue Yang AR,Ho Seng Giap (He Chengye) and Adly Rizal Bin Said (Tito Isaac & Co LLP) for the plaintiff Tan Kia Hua (Chen Jiahua) (WongPartnership LLP) for the defendant.
[2020] SGCA 120,Criminal Law - Statutory offences - Misuse of Drugs Act,2020,https://www.elitigation.sg/gd/s/2020_SGCA_120,12296,0,Steven Chong JA,"Daniel Chia Hsiung Wen and Ker Yanguang (Morgan Lewis Stamford LLC) and Prasad s/o Karunakarn (K Prasad & Co) for the appellant in CCA 22/2019Singa Retnam (IRB Law LLP) and Josephine Iezu Costan (David Nayar and Associates) for the appellant in CCA 23/2019 Dhanaraj James Selvaraj (James Selvaraj LLC) and Mohammad Shafiq bin Haja Maideen (Abdul Rahman Law Corporation) for the appellant in CCA 24/2019 Wong Woon Kwong, Chin Jincheng and Shana Poon (Attorney-General's Chambers) for the respondent."
[2020] SGHC 276,"Civil Procedure — Delay
Civil Procedure — Judgments and orders — Setting aside — Principles 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_276,7692,103,Chua Lee Ming J,"Chan Tai-Hui, Jason SC, Ong Min-Tse, Paul, Gan Yun Han, Rebecca, Lim Jun Rui, Ivan, Oh Jialing, Evangeline and Cheong Rui Jie, Kiron (Allen & Gledhill LLP) for the plaintiff Vergis S Abraham, Zhuo Jiaxiang and Kenny Lau (Providence Law Asia LLC) for the defendant."
[2020] SGHC(I) 26,"Credit and Security — Guarantees and indemnities
Civil Procedure — Rules of court — Judgment without trial
Commercial Transactions — Obligation of good faith
",2020,https://www.elitigation.sg/gd/s/2020_SGHCI_26,3528,35,Jeremy Lionel Cooke IJ,"Chan Tai-Hui, Jason (""Chan""), Oh Jialing, Evangeline and Gan Yun Han, Rebecca (Allen & Gledhill LLP) for the plaintiff and the defendants unrepresented, absent."
[2020] SGHC 277,Damages — Assessment ,2020,https://www.elitigation.sg/gd/s/2020_SGHC_277,5225,52,Choo Han Teck J,Balasubramaniam s/o Appavu (BSA Law Chambers LLC)for plaintiffWee Anthony and Pang Weng Fong (United Legal Alliance LLC)for defendant.
[2020] SGCA 119,"Contract — Breach
Contract — Discharge — Breach
Contract — Remedies — Liquidated damages
Damages — Liquidated damages or penalty
Damages — Mitigation",2020,https://www.elitigation.sg/gd/s/2020_SGCA_119,38220,330,Andrew Phang Boon Leong JA,"Lee Eng Beng SC, Tay Twan Lip Philip and Yip Li Ming (Rajah & Tann Singapore LLP) for the appellants in Civil Appeals Nos 37 and 100 of 2019 and the respondents in Civil Appeals Nos 38 and 101 of 2019Thio Shen Yi SC, Melvin Chan, Koh Li Qun Kelvin and Nguyen Vu Lan (TSMP Law Corporation) for the appellant in Civil Appeals Nos 38 and 101 of 2019 and the respondents in Civil Appeals Nos 37 and 100 of 2019."
[2020] SGHC(I) 25,"Trusts — Constructive trusts
Restitution — Unjust enrichment
Limitation of Actions — When time begins to run
Contract — Illegality and public policy
",2020,https://www.elitigation.sg/gd/s/2020_SGHCI_25,25835,0,Henry Bernard Eder IJ,"Davinder Singh s/o Amar Singh SC, Pardeep Singh Khosa, Rajvinder Singh Chahal, Avinash Iswar Selvarajah, Sumedha Madhusudhanan (Davinder Singh Chambers LLC) for the plaintiffs Francis Xavier s/o Subramaniam Xavier Augustine SC, Jainil Bhandari, Chia Xin Ran Alina, Chiang Yuan Bo, Kristin Ng Wei Ting and Riko Isaac (Rajah & Tann Singapore LLP) for the defendant."
[2020] SGHC 273,Civil Procedure — Pleadings,2020,https://www.elitigation.sg/gd/s/2020_SGHC_273,2443,25,Choo Han Teck J,Lim Chee San (TanLim Partnership) for the appellantHaridas Vasantha Devi (Belinda Ang Tang & Partners) for the respondent.
[2020] SGHC 274,"Contract — Formation — Acceptance
Building And Construction Law — Jurisdictional objection 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_274,1801,24,Lee Seiu Kin J,"Nandakumar Ponniya Servai, Tan Yi Wei Nicholas, Daryl Tang and Lee Chuan (Wong & Leow LLC) for the plaintiff Isaac Tito Shane, Chong Yi Mei and Ning Jie (Tito Isaac & Co LLP) for the defendant."
[2020] SGCA 118,"Insolvency Law — Bankruptcy — Statutory demand — Application to set aside

",2020,https://www.elitigation.sg/gd/s/2020_SGCA_118,12102,96,Woo Bih Li J,"Derek Kang Yu Hsien and Ashok Kumar Rai (Cairnhill Law LLC) for the appellant Jamal Siddique Peer, Leong Woon Ho and Liew Zhi Hao (Shook Lin & Bok LLP) for the respondent."
[2020] SGHC 272,Evidence — Witnesses — Video link ,2020,https://www.elitigation.sg/gd/s/2020_SGHC_272,3950,0,Lai Siu Chiu SJ,"Tan Wen Cheng Adrian and Low Zhi Yu Janus (August Law Corporation) for the plaintiff Lim Soo Peng (Lim Soo Peng & Co LLC) for the first defendant Lam Kuet Keng Steven John, Choong Madeline and Ang Jian Xiang (Templars Law LLC) for the second defendant."
[2020] SGHC 270,Administrative Law — Judicial review — Leave,2020,https://www.elitigation.sg/gd/s/2020_SGHC_270,5532,0,Ang Cheng Hock J,"Ravi s/o Madasamy (Carson Law Chambers) for the plaintiff Khoo Boo Jin, Joel Chen, Ailene Chou and Ashley Ong (Attorney-General's Chambers) for the defendant."
[2020] SGHC 268,"Tort — Confidence, Tort — Passing off , Equity — Defences — Limitation, Equity — Defences — Acquiescence, Confidence — Breach of confidence, Tort — Conspiracy — Unlawful means, Employment Law — Contract of service — Breach, Employment Law — Termination — Without notice, Equity — Fiduciary relationships — When arising, Equity — Fiduciary relationships — Duties — Breach",2020,https://www.elitigation.sg/gd/s/2020_SGHC_268,36836,278,Mavis Chionh Sze Chyi JC,"Martin Francis Decruz and Alexander Loh (Shenton Law Practice LLC) for the plaintiff Gan Theng Chong and Kelley Wong Kar Ee (Lee & Lee) for the first and second defendants Sharon Chong Chin Yee, Nandhu, Nadene Law Qin Ning and Renee Sim (RHTLaw Asia LLP) for the third defendant."
[2020] SGHC 266,"Criminal Procedure and Sentencing — Sentencing 
, Criminal Law — Offences — Rape — Sexual assault by penetration",2020,https://www.elitigation.sg/gd/s/2020_SGHC_266,3705,42,Tan Siong Thye J,Gail Wong and Sheryl Yeo (Attorney-General's Chambers) for the Prosecution Vigneesh s/o Nainar and Sadhana Devi d/o Daevnrd Rai (Law Society Pro Bono Services) for the accused.
[2020] SGHC 264,Credit and Security — Money and moneylenders — Illegal moneylending,2020,https://www.elitigation.sg/gd/s/2020_SGHC_264,4346,47,Choo Han Teck J,"Derek Kang Yu Hsien and Lim Shi Zheng Lucas (Cairnhill Law LLC) for the plaintiffsSinga Retnam (I.R.B Law LLP) (instructed), Abdul Wahab bin Saul Hamid and Jeremy Chew (A.W. Law LLC) for the defendants."
[2020] SGCA 117,"Contract — Breach, Contract — Illegality and public policy",2020,https://www.elitigation.sg/gd/s/2020_SGCA_117,1257,17,Andrew Phang Boon Leong JA,"Tan Chuan Thye SC, Shaun Ou (Rajah & Tann Singapore LLP) (instructed) and Robert Raj Joseph (Gravitas Law LLC) for the appellants Muthu Kumaran s/o Muthu Santha (Kumaran Law) for the respondents."
[2020] SGHC 267,"Criminal Law — Offences — Unnatural offences, Criminal Procedure and Sentencing — Sentencing — Principles 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_267,11737,106,See Kee Oon J,"Yu Kexin (Yu Law), Devathas Satianathan (Rajah & Tann Singapore LLP) and Poon Guokun Nicholas (Breakpoint LLC) for the appellant Kavitha Uthrapathy (Attorney-General's Chambers) for the respondent."
[2020] SGHC 257,Arbitration - Award - Recourse against award,2020,https://www.elitigation.sg/gd/s/2020_SGHC_257,16118,0,Vinodh Coomaraswamy J,Not found
[2020] SGCA 116,"Criminal Law — Statutory Offences — Misuse of Drugs Act, Criminal Procedure and Sentencing — Statements — Admissibility, Criminal Procedure and Sentencing — Statements — Voluntariness",2020,https://www.elitigation.sg/gd/s/2020_SGCA_116,13072,0,Tay Yong Kwang JA,"Anand Nalachandran (Forte Law LLC), Lau Kah Hee (BC Lim & Lau LLC) and Koh Weijin Leon (N S Kang) for the appellant April Phang and Tan Ee Kuan (Attorney-General's Chambers) for the respondent."
[2020] SGHC 262,"Insolvency Law — Bankruptcy — Jurisdiction, Insolvency Law — Bankruptcy — Trustee in bankruptcy",2020,https://www.elitigation.sg/gd/s/2020_SGHC_262,6122,61,Aedit Abdullah J,"Lee Ee Yang, Eoon Zizhen, Benedict (Wen Zizhen) and Chin Yen Bing, Arthur (Covenant Chambers LLC) for the applicant Koh Yeong Hung Sasha (Adsan Law LLC) for the respondent."
[2020] SGHC 265,"Criminal Law — Statutory offence — Prevention of Corruption Act 
Criminal Procedure and Sentencing — Sentencing — Appeals 
Criminal Procedure and Sentencing — Sentencing — Principles 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_265,34707,0,Chan Seng Onn J,"Nicolas Tang and Charlotte Wong (Farallon Law Corporation) for the first appellant Sunil Sudheesan and Diana Ngiam (Quahe Woo and Palmer LLC) for the second appellant Jasmin Kaur, Loh Hui-min and Lee Jing Yan (Attorney General's Chambers) for the Prosecution."
[2020] SGHC 263,Insolvency Law — Bankruptcy — Statutory demand,2020,https://www.elitigation.sg/gd/s/2020_SGHC_263,3268,35,Tan Siong Thye J,A Rajandran (A Rajandran) (instructed) and Naidu Mohan Das (Mohan Das Naidu & Partners) for the plaintiff Palaniappan Sundararaj (K&L Gates Straits Law LLC) for the defendants.
[2020] SGHC 261,"Criminal Law — Statutory Offences — Remote Gambling Act
Criminal Procedure and Sentencing — Sentencing — Appeals
Criminal Procedure and Sentencing — Sentencing — Benchmark Sentences 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_261,7244,0,Sundaresh Menon CJ,Robert Leslie Gregory (L G Robert) and Chow Weng Weng (Chow Ng Partnership) for the appellant Wong Woon Kwong and Lim Shin Hui (Attorney-General's Chambers) for the respondent.
[2020] SGHC 260,Tort — Negligence,2020,https://www.elitigation.sg/gd/s/2020_SGHC_260,7008,66,Choo Han Teck J,"Kuah Boon Theng SC, Yong Shuk Lin Vanessa and Chain Xiao Jing Felicia (Legal Clinic LLC) for the plaintiffsNarayanan Sreenivasan SC, Sundararaj Palaniaapan, Lim Min (K&L Gates Straits Law LLC) (instructed) and Gan Guo Wei (Charles Lin LLC) for the first defendantMak Wei Munn, Teh Shi Ying and Ong Hui Fen Rachel (Allen & Gledhill LLP) for the third party."
[2020] SGHC 258,Revenue Law — Income taxation — Appeals,2020,https://www.elitigation.sg/gd/s/2020_SGHC_258,1189,15,Choo Han Teck J,Lee Wei Liang Emmanuel Benedict and Lau Sze Leng Serene (Inland Revenue Authority of Singapore) for appellantLee Wei Han Shaun and Low Zhe Ning (Bird & Bird ATMD LLP) for respondent.
[2020] SGHC(I) 24,Civil Procedure — Costs — Security,2020,https://www.elitigation.sg/gd/s/2020_SGHCI_24,2612,0,Roger Giles IJ,"Christopher Anand Daniel and Harjean Kaur (Advocatus Law LLP) for the plaintiffs Ramesh Kumar s/o Ramasamy, Alyssa Tan Shu-Ning and Amanda Lim Min Li (Allen & Gledhill LLP) for the defendants."
[2020] SGHCF 21,Family Law — Family violence — Orders for protection ,2020,https://www.elitigation.sg/gd/s/2020_SGHCF_21,5361,47,Debbie Ong J,Rajwin Singh Sandhu (Rajwin & Yong LLP) for the appellantThe respondent in person.
[2020] SGCA 115,"Criminal Procedure and Sentencing — Sentencing, Criminal Law — Statutory offences — Misuse of Drugs Act",2020,https://www.elitigation.sg/gd/s/2020_SGCA_115,6664,64,Andrew Phang Boon Leong JA,"The appellant in Criminal Appeal No 36 of 2019 in personTito Shane Isaac, Chong Yi Mei and Lucella Lucias Jeraled (Tito Isaac & Co LLP) for the appellant in Criminal Appeal No 37 of 2019Marcus Foo and Rimplejit Kaur (Attorney-General's Chambers) for the respondent in Criminal Appeals Nos 36 and 37 of 2019."
[2020] SGHCF 20,"Family Law — Maintenance 
, Family Law — Custody — Access, Family Law — Custody — Care and control",2020,https://www.elitigation.sg/gd/s/2020_SGHCF_20,7737,66,Debbie Ong J,The appellant in HCF/DCA 98/2018 and the respondent in HCF/DCA 99/2018 in personHing Wei Yuen Angelina and Ng Yu Hui Michelle (Integro Law Chambers LLC) for the respondent in HCF/DCA 99/2018 and the appellant in HCF/DCA 99/2018.
[2020] SGHC 259,"Contract — Formation, Civil Procedure — Striking out, Contract — Contractual terms — Implied terms
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_259,10736,74,See Kee Oon J,"Lim Qiu Yi, Regina and Woo Shu Yan (Drew & Napier LLC) for the plaintiff Lee Bik Wei and Ngiam Hian San, Laura (Allen & Gledhill LLP) for the defendant."
[2020] SGHC 256,"Contract — Breach, Contract — Contractual terms",2020,https://www.elitigation.sg/gd/s/2020_SGHC_256,12018,100,Ang Cheng Hock J,"Lok Vi Ming SC, Lee Sien Liang Joseph and Yap Pei Yin (LVM Law Chambers LLC) for the plaintiff Aqbal Singh a/l Kuldip Singh and Cheng Cui Wen (Pinnacle Law LLC) for the defendant."
[2020] SGCA 114,"Civil Procedure - Damages, Civil Procedure - Offer to settle",2020,https://www.elitigation.sg/gd/s/2020_SGCA_114,6926,87,Belinda Ang Saw Ean J,"Lee Hwee Khiam Anthony and Huineng Clement Chen (Bih Li & Lee LLP) for the appellant Wong Hin Pkin Wendell, Chen Jie'an Jared, Wong Zi Qiang, Bryan and Andrew Chua Ruiming (Drew & Napier LLC) for the respondent."
[2020] SGHC 255,"Legal Profession - Solicitor-client relationship, Legal Profession - Professional conduct — Breach 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_255,23234,174,Sundaresh Menon CJ,"Koh Swee Yen and Queenie Angeline Lim Xiaoyan (WongPartnership LLP) for the applicantKenneth Tan SC, Soh Wei Chi (Kenneth Tan Partnership) and Walter Woon SC (RHTLaw Asia LLP) (instructed), Vergis S Abraham and Asiyah binte Ahmad Arif (Providence Law Asia LLC) for the respondent."
[2020] SGHC 253,"Contract — Formation, Trusts — Resulting Trusts, Equity — Remedies — Substitutive compensation 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_253,4151,0,Chan Seng Onn J,Ashok Kumar Rai (Cairnhill Law LLC) for the appellant Kanagavijayan Nadarajan (Kana & Co) for the respondent.
[2020] SGHC 254,"Trusts — Express trusts, Equity — Estoppel — Promissory estoppel
, Gifts — Presumptions against — Resulting trusts",2020,https://www.elitigation.sg/gd/s/2020_SGHC_254,19827,155,Audrey Lim J,"Tan Chee Meng SC, Jenny Tsin, Ho Wei Jie and Ephraim Tan Hui Rong (WongPartnership LLP) for the plaintiff Lee Eng Beng SC, Jeremy Gan Eng Tong, Doreen Chia Ming Yee and Tao Tao (Rajah & Tann Singapore LLP) for the defendant."
[2020] SGHC 252,"Land — Adverse possession
 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_252,2244,0,Lee Seiu Kin J,Yap Peck Choon Patrick and Callie Kwong Yan Li (BR Law Corporation) for the plaintiff Davinder Singh s/o Amar Singh SC and Tan Ruo Yu (Davinder Singh Chambers LLC) for the defendant.
[2020] SGCA 112,"Companies — Oppression — Minority shareholders, Professions — Valuer — Judicial review of valuation ",2020,https://www.elitigation.sg/gd/s/2020_SGCA_112,4944,41,Andrew Phang Boon Leong JA,Ramesh Bharani s/o K Nagaratnam and Ong Ying Ting Eunice (RBN Chambers LLC) for the appellants in Civil Appeal No 45 of 2020 and the appellant in Civil Appeal No 46 of 2020 Mahesh Rai s/o Vedprakash Rai and Yong Wei Jun Jonathan (Drew & Napier LLC) for the respondent in Civil Appeals Nos 45 and 46 of 2020.
[2020] SGCA 113,"Criminal Law - Offences - Rape, Criminal Law - Offences - Sexual assault, Criminal Procedure and sentencing - Sentencing - Benchmark Sentences",2020,https://www.elitigation.sg/gd/s/2020_SGCA_113,1286,14,Judith Prakash JA,The Appellant in person Winston Man and Krystle Chiang(Attorney-General's Chambers) for the Respondent.
[2020] SGHC 251,"Arbitration — Agreement — Scope — Carve outs
Arbitration — Agreement — Interpretation
Arbitration — Stay of court proceedings — Mandatory stay under International Arbitration Act
Arbitration — Stay of court proceedings — Mandatory stay under International Arbitration Act  —  International Arbitration Act (Cap 143A, 2002 Rev Ed)   ",2020,https://www.elitigation.sg/gd/s/2020_SGHC_251,4017,62,Chua Lee Ming  Judge,"Nair Suresh Sukumara and Yeow Guan Wei, Joel (PK Wong & Nair LLC) for the plaintiff Lok Vi Ming SC, Lee Sien Liang, Joseph, Pak Waltan and Qabir Singh Sandhu (LVM Law Chambers LLC) for the defendant."
[2020] SGHC 237,Tort — Negligence — Contributory negligence,2020,https://www.elitigation.sg/gd/s/2020_SGHC_237,4311,65,Andre Maniam JC,A Revi Shanker s/o K Annamalai (ARShanker Law Chambers) for the plaintiff Yeo Kim Hai Patrick and Lim Hui Ying (Legal Solutions LLC) for the defendant.
[2020] SGHC 250,"Criminal Law — Statutory offences, Criminal Law — Offences — Sexual offences, Criminal Procedure and Sentencing — Sentencing — Principles",2020,https://www.elitigation.sg/gd/s/2020_SGHC_250,6464,77,Aedit Abdullah J,The appellant unrepresented Krystle Chiang and Ong Yao-Min Andre (Attorney-General's Chambers) for the respondent. .
[2020] SGHC 248,"Criminal Law — Offences — Property, Criminal Procedure and Sentencing — Sentencing — Principles",2020,https://www.elitigation.sg/gd/s/2020_SGHC_248,2507,24,Aedit Abdullah J,Dhanwant Singh (S K Kumar Law Practice LLP) for the appellant Asoka Markandu and Tan Hsiao Tien (Attorney-General's Chambers) for the respondent.
[2020] SGHC 247,"Agency — Evidence of agency, Evidence — Proof of evidence
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_247,8384,0,Kannan Ramesh J,Not found
[2020] SGHC(I) 23,"Civil Procedure — Affidavits — Striking out
, Arbitration — Award — Recourse against award — Setting aside",2020,https://www.elitigation.sg/gd/s/2020_SGHCI_23,14828,0,Vivian Ramsey IJ,"Ramachandran Doraisamy Raghunath and Josiah Fong Ren Jing (Peter Doraisamy LLC) for the plaintiff Joseph Lopez, Vanathi Eliora Ray, and Kyle Yew Chang Mao (Joseph Lopez LLP) for the defendant."
[2020] SGHC 249,Civil Procedure — Service — Out of jurisdiction — Material non-disclosure,2020,https://www.elitigation.sg/gd/s/2020_SGHC_249,9997,127,Andre Maniam JC,"Peter Gabriel, Nandwani Manoj Prakash, Henry Li-Zheng Setiono and Selina Naidu (Gabriel Law Corporation) for the plaintiff Kenneth Tan SC (Kenneth Tan Partnership) (instructed), Loh Wai Yue, Alankriti Sethi and Chan Zijian Boaz (Incisive Law LLC) for the defendant."
[2020] SGHC 246,"Civil Procedure — Mareva injunctions 

, Bills of Exchange and Other Negotiable Instruments — Summary judgment",2020,https://www.elitigation.sg/gd/s/2020_SGHC_246,11787,0,Dedar Singh Gill J,Boaz Chan and Adrian Koh Shang Yong (Incisive Law LLC) for the plaintiff Choo Zheng Xi and Ng Bin Hong (Peter Low & Choo LLC) for the defendant.
[2020] SGHC 244,Civil Procedure — Judgments and orders,2020,https://www.elitigation.sg/gd/s/2020_SGHC_244,5234,54,Tan Puay Boon JC,"Suresh s/o Damodara, Ong Ziying Clement and Khoo Shufen Joni (Damodara Ong LLC) for the plaintiffs Liew Teck Huat, Kanapathi Pillai Nirumalan, Ow Jiang Meng Benjamin and Ho Jun Yang Joshua (He Junyang) (Niru & Co LLC) for the first defendant Yeo Khirn Hai Alvin SC, Chang Man Phing Jenny, Gavin Neo Jia Cheng and Khoo Kiah Min Jolyn (WongPartnership LLP) for the second defendant."
[2020] SGHC 243,"Land — Interest in land, Family Law — Advancement — Presumption, Trusts — Resulting trusts — Presumed resulting trusts 
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_243,11439,90,Tan Puay Boon JC,Ranvir Kumar Singh (UniLegal LLC) for the plaintiff Twang Kern Zern and Lam Jianhao Mark (Central Chambers Law Corporation) for the defendant Sara Binte Abdul Aziz (Silvester Legal LLC) (watching brief) for non-party.
[2020] SGHC 245,"Insolvency Law — Winding up — Liquidator — Powers — Court sanction
Insolvency Law — Winding up — Liquidator — Discontinuance of action    
",2020,https://www.elitigation.sg/gd/s/2020_SGHC_245,2160,39,Chua Lee Ming  Judge,Not found
[2020] SGHC 238,Civil Procedure — Costs — Taxation,2020,https://www.elitigation.sg/gd/s/2020_SGHC_238,9388,126,Andre Maniam JC,"Peter Gabriel, Nandwani Manoj Prakash and Charlotte Loh (Gabriel Law Corporation) for the applicant Vellayappan Balasubramaniyam, Davis Tan Yong Chuan and Quek Yi Liang Daniel (Rajah & Tann Singapore LLP) for the respondent."
