CaseIdentifier,Catchwords,Year,URL,WordCount,ParagraphCount,Author,LegalParties
[2024] SGHC 90,"Legal Profession — Duties — Client, Legal Profession — Conflict of interest, Legal Profession — Solicitor's undertaking
 
, Legal Profession — Professional conduct — Breach",2024,https://www.elitigation.sg/gd/s/2024_SGHC_90,7438,0,Sundaresh Menon CJ,"Thng Yu Ting, Angelia, Tang Kai Qing and Nicole Lee Man Ruo (Braddell Brothers LLP) for the applicant the respondent in person."
[2024] SGHC 92,"Arbitration — Restraint of proceedings — Foreign judicial, Civil procedure — Injunctions — Whether an injunction should be granted to protect the court's processes, jurisdiction and judgments 
, Contract — Formation — Acceptance — Whether a solicitor's proposal to enter into an exclusive jurisdiction agreement subject to the client's final approval was an offer capable of acceptance, Civil procedure — Injunctions — Whether it was vexatious and oppressive for a limitation defendant to commence and/or prosecute foreign proceedings after limitation proceedings commenced in Singapore, Arbitration — Agreement — Scope — Whether alleged contractual defences contained in the bills of lading rendered the tort claim one ""arising out of or in connection with"" the contract of carriage evidenced by the bills of lading, Arbitration — Agreement — Scope — Whether a stand-alone tort claim for damage done by shipowner/carrier to a trestle bridge owned by the cargo shipper is a dispute ""arising out of or in connection with"" the contract of carriage evidenced by bills of lading",2024,https://www.elitigation.sg/gd/s/2024_SGHC_92,14368,189,S Mohan J,"Toh Kian Sing SC, Dedi Affandi bin Ahmad, Koh Xu Min Rebecca and Wu Muyu (Rajah & Tann Singapore LLP) for the claimant The first defendant absent and unrepresented Tan Wee Kong and Poh Ying Ying Joanna (JLex LLC) for the second defendant The third defendant absent and unrepresented."
[2024] SGHC 88,Civil Procedure — Summary judgment ,2024,https://www.elitigation.sg/gd/s/2024_SGHC_88,3973,36,Goh Yihan J,"Prakash Pillai, Koh Junxiang and Ng Pi Wei (Clasis LLC) for the claimants Vikram Nair, Foo Xian Fong and Liew Min Yi Glenna (Rajah & Tann Singapore LLP) for the defendant."
[2024] SGHC 87,"Insolvency Law — Winding up — Grounds for petition, Companies — Winding up — Discretion — Abuse of process, Companies — Winding up — Suspending business for a whole year, Companies — Winding up — Just and equitable ground — Loss of substratum, Companies — Winding up — Failure to commence business within a year of incorporation, Companies — Winding up — Discretion — Availability of alternative buy-out mechanism
",2024,https://www.elitigation.sg/gd/s/2024_SGHC_87,7153,88,Hri Kumar Nair J,Lim Mengguan and Clarie Ong Bee Sim (Drew & Napier LLC) for the claimant Zheng Shengyang Harry and Yeo Qi Cheryl (Kelvin Chia Partnership) for the defendant M K Eusuff Ali and Lee Yen Yin (Tan Rajah & Cheah) for the first non-party Yeo Kee Teng Mark (Fortress Law Corporation) for the second non-party (watching brief).
[2024] SGHCF 18,"Family Law — Adultery — Evidence and proof, Family Law — Grounds for divorce — Behaviour",2024,https://www.elitigation.sg/gd/s/2024_SGHCF_18,2173,20,Choo Han Teck J,Nevinjit Singh J (Sureshan LLC) for the appellant in DCA 59 of 2023 and co-respondent in DCA 60 of 2023John Vincent (John Law Chambers LLC) for the appellant in DCA 60 of 2023Narayanan Vijya Kumar (Vijay & Co) for the respondent.
[2024] SGHC(I) 7,"Civil Procedure — Service
, Civil Procedure — Judgments and orders",2024,https://www.elitigation.sg/gd/s/2024_SGHCI_7,13328,111,Roger Giles IJ,"Rajan Sanjiv Kumar, Loong Tse Chuan, Wong Pei Ting and Prabu Devaraj s/o Raman (Allen & Gledhill LLP) for the plaintiff Toh Kian Sing SC, Cheng Wai Yuen Mark, Soh Yu Xian Priscilla, Lim Wee Teck Darren and Mao Zhichao @ Mao Zhihong (Rajah & Tann Singapore LLP) for the first defendant and non-party."
[2024] SGCA 11,"Civil Procedure — Striking out
, Constitutional Law — Judicial review",2024,https://www.elitigation.sg/gd/s/2024_SGCA_11,1271,13,Sundaresh Menon CJ,"The appellants in person Chew Shi Jun James, Teo Meng Hui Jocelyn and J Jayaletchmi (Attorney-General's Chambers) for the respondent."
[2024] SGHC 89,Conflict of Laws — Enforcement — Foreign award,2024,https://www.elitigation.sg/gd/s/2024_SGHC_89,1548,15,Choo Han Teck J,Subir Grewal and Wan Chi Kit (Aequitas Law LLP) for the plaintiffK Muralitherapany and Jolene Tan Shi Yun (Joseph Tan Jude Benny LLP) for the defendant.
[2024] SGCA 10,"Companies — Accounts, Companies — Directors — Duties, Companies — Shares — Dividends, Insolvency Law — Avoidance of transactions — Unfair preferences 
, Insolvency Law — Avoidance of transactions — Transactions at an undervalue",2024,https://www.elitigation.sg/gd/s/2024_SGCA_10,18707,162,Sundaresh Menon CJ,"Nair Suresh Sukumaran, Noel Chua Yi How and Alex Chia Yao Wei (PK Wong & Nair LLC) for the appellant Lee Ming Hui Kelvin and Ong Xin Ying Samantha (WNLEX LLC) for the respondent Lee Eng Beng SC (Rajah & Tann Singapore LLP) as independent counsel."
[2024] SGHC 86,Damages - Assessment - Loss of future earnings,2024,https://www.elitigation.sg/gd/s/2024_SGHC_86,12751,0,See Kee Oon JAD,"Joseph Lopez, Mubin Shah and Pearline Chia (Joseph Lopez LLP) for the plaintiff Patrick Yeo, Lim Hui Ying and Joyce Ooi (Legal Solutions LLC) for the defendant."
[2024] SGHC 85,"Civil Procedure — Production of documents — Privilege
, Civil Procedure — Production of documents — Specific production",2024,https://www.elitigation.sg/gd/s/2024_SGHC_85,3298,50,Chua Lee Ming J,"Lin Shumin, Cheng Si Yuan Shaun and Song Yihang (Drew & Napier LLC) for the claimants Chan Tai-Hui, Jason SC, Afzal Ali and Wong Ling Yun (Allen & Gledhill LLP) for the defendant."
[2024] SGHC(A) 9,"Civil Procedure — Appeals — Striking out, Civil Procedure — Appeals — Right of appeal
",2024,https://www.elitigation.sg/gd/s/2024_SGHCA_9,3646,36,Kannan Ramesh JAD,"Narayanan Sreenivasan SC, Jerrie Tan Qiu Lin and Partheban s/o Pandiyan (K&L Gates Straits Law LLC) (instructed), Thrumurgan s/o Ramapiram, Tan Lai Tian Timothy, Mohamad Hasbu Haneef bin Abdul Malik and Lokman Hakim bin Mohamed Rafi (Trident Law Corporation) for the appellant Kronenburg Edmund Jerome, Lim Yanqing Esther Candice, Tang Kai Qing and Chan Yu Jie (Braddell Brothers LLP) for the respondent."
[2024] SGHC 84,Civil Procedure — Parties — Consolidation,2024,https://www.elitigation.sg/gd/s/2024_SGHC_84,6911,63,Goh Yihan J,"Kenneth Tan SC (Kenneth Tan Partnership) (instructed), Ng Ka Luon Eddee, Leong Qianyu, Teo Jin Yun Germaine, Gitta Priska Adelya, Lu Yanrong Elycia and Clarise Chew Shu-Min (Tan Kok Quan Partnership) for the 1st, 2nd, 16th and 37th plaintiffs in HC/S 267/2022 and for the 1st, 2nd and 16th plaintiffs in HC/S 268/2022Jaikanth Shankar, Rajvinder Singh Chahal, Sheiffa Safi Shirbeeni and Shilpa Krishnan (Davinder Singh Chambers LLC) for the defendant in HC/S 267/2022Thio Shen Yi SC, Tan May Lian Felicia, Kevin Elbert, Chin Yen Bing Arthur, Joshua Phang Shih Ern, Juliana Lake, Tay Zhuo Yan Isaac and Ng Qiheng Glenn (TSMP Law Corporation) for the defendant in HC/S 268/2022."
[2024] SGHC 82,"Legal Profession — Admission
 
",2024,https://www.elitigation.sg/gd/s/2024_SGHC_82,9755,64,Sundaresh Menon CJ,Patrick Fernandez and Mohd Arshad (Fernandez LLC) for the applicant Shi Pei-Yi Sarah and Tay Jia Yi Pesdy (Attorney-General's Chambers) for the Attorney-General Darryl Chew Zijie (Chia Wong Chambers LLC) for the Law Society of Singapore Chong Soon Yong Avery (Avery Chong Law Practice) for the Singapore Institute of Legal Education.
[2024] SGCA 9,"Companies — Memorandum and articles of association, Conflict of Laws — Restraint of foreign proceedings  , Civil Procedure — Injunctions — Prohibitory injunction to restrain breach of negative covenant",2024,https://www.elitigation.sg/gd/s/2024_SGCA_9,13149,112,Steven Chong JCA,"Seah Zhen Wei Paul, Siew Guo Wei, Grace Ho Jia Hui and Tyronne Toh Jia-En (Tan Kok Quan Partnership) for the appellant Ajaib Hari Dass, Ragini d/o Parasuram and Brian Larry Khoo (Haridass Ho & Partners) for the respondents."
